customer_id,tenure_months,monthly_spend,support_tickets,region,plan_type,satisfaction_score,contract_length_months,churned
CUST-00000,68,49.47,2,APAC,pro,7.39,12,0
CUST-00001,45,,2,EMEA,pro,6.61,12,0
CUST-00002,49,142.36,4,APAC,pro,8.94,12,0
CUST-00003,64,166.04,1,AMER,enterprise,8.74,1,0
CUST-00004,42,113.62,1,AMER,pro,10.0,12,0
CUST-00005,56,167.15,2,EMEA,enterprise,,12,0
CUST-00006,60,120.81,2,AMER,pro,7.51,12,0
CUST-00007,16,115.8,1,LATAM,pro,6.18,12,1
CUST-00008,4,145.81,0,AMER,pro,5.35,24,0
CUST-00009,22,167.63,3,LATAM,basic,7.13,12,0
CUST-00010,21,104.64,2,EMEA,basic,4.83,1,1
CUST-00011,63,109.03,2,APAC,pro,2.91,1,0
CUST-00012,65,112.76,0,AMER,pro,5.3,12,0
CUST-00013,1,123.72,1,APAC,basic,6.46,12,0
CUST-00014,36,79.48,1,EMEA,pro,10.0,12,0
CUST-00015,59,166.26,2,EMEA,pro,5.63,12,0
CUST-00016,10,101.98,3,AMER,basic,4.82,24,1
CUST-00017,57,140.81,4,AMER,pro,3.37,1,1
CUST-00018,9,82.85,2,APAC,basic,6.29,12,1
CUST-00019,34,136.15,0,LATAM,enterprise,6.49,1,0
CUST-00020,58,137.62,0,EMEA,enterprise,7.19,12,0
CUST-00021,22,101.07,1,APAC,basic,4.32,24,0
CUST-00022,25,210.94,0,EMEA,basic,5.55,1,0
CUST-00023,20,136.7,0,EMEA,pro,2.84,1,1
CUST-00024,52,,3,EMEA,basic,7.23,12,0
CUST-00025,19,163.16,2,EMEA,pro,4.1,12,1
CUST-00026,71,90.2,1,AMER,pro,1.98,24,0
CUST-00027,32,102.8,0,APAC,enterprise,9.01,24,0
CUST-00028,34,139.62,1,EMEA,basic,7.84,24,0
CUST-00029,36,122.75,2,EMEA,pro,7.56,12,0
CUST-00030,42,,0,AMER,pro,7.56,12,0
CUST-00031,40,107.12,2,LATAM,pro,5.06,1,0
CUST-00032,37,38.62,1,AMER,enterprise,8.86,24,0
CUST-00033,71,109.86,2,APAC,basic,5.04,12,0
CUST-00034,58,20.18,2,EMEA,basic,10.0,12,0
CUST-00035,57,136.73,1,AMER,pro,7.33,12,0
CUST-00036,50,87.33,1,LATAM,basic,3.61,24,0
CUST-00037,45,87.81,3,AMER,pro,8.49,12,0
CUST-00038,25,110.13,0,AMER,enterprise,10.0,1,1
CUST-00039,71,132.27,1,AMER,pro,6.47,1,0
CUST-00040,34,55.56,0,EMEA,pro,8.85,1,0
CUST-00041,16,41.31,2,EMEA,basic,6.55,12,1
CUST-00042,61,72.03,3,APAC,enterprise,5.8,12,0
CUST-00043,12,28.12,2,APAC,basic,2.28,1,1
